feature,gain,pct
rolling_mean_3,1604403.1045607924,73.99339409419241
lag_2,332217.0883023143,15.321504844823632
lag_1,107586.4400820136,4.961774156102059
sku,69628.24372923374,3.2111818181466614
lag_3,27263.873378157616,1.2573813411788608
rolling_std_3,8248.181612432003,0.38039751411240635
month_of_year,7186.2370084524155,0.3314217390312597
unit_cost,5786.205622553825,0.26685375497129904
warehouse_id,2030.5823021829128,0.09364833320192548
handling_cost_per_unit,1725.5186881422997,0.07957911820643031
abc_class,1338.3268502652645,0.06172223537651769
category,691.8647258877754,0.03190807794933733
region,200.1990888118744,0.009232972707199067
